longrange1,latrange1,longrange2,latrange2
-44.139320600000005,-22.818931999999965,-44.08932060000001,-22.768931999999964
-44.139320600000005,-22.768931999999964,-44.08932060000001,-22.718931999999963
-44.139320600000005,-22.718931999999963,-44.08932060000001,-22.668931999999963
-44.139320600000005,-22.668931999999963,-44.08932060000001,-22.618931999999962
-44.139320600000005,-22.618931999999962,-44.08932060000001,-22.56893199999996
-44.139320600000005,-22.56893199999996,-44.08932060000001,-22.51893199999996
-44.139320600000005,-22.51893199999996,-44.08932060000001,-22.46893199999996
-44.139320600000005,-22.46893199999996,-44.08932060000001,-22.41893199999996
-44.139320600000005,-22.41893199999996,-44.08932060000001,-22.36893199999996
-44.139320600000005,-22.36893199999996,-44.08932060000001,-22.318931999999958
-44.139320600000005,-22.318931999999958,-44.08932060000001,-22.268931999999957
-44.139320600000005,-22.268931999999957,-44.08932060000001,-22.218931999999956
-44.139320600000005,-22.218931999999956,-44.08932060000001,-22.168931999999955
-44.08932060000001,-23.018931999999968,-44.03932060000001,-22.968931999999967
-44.08932060000001,-22.968931999999967,-44.03932060000001,-22.918931999999966
-44.08932060000001,-22.918931999999966,-44.03932060000001,-22.868931999999965
-44.08932060000001,-22.868931999999965,-44.03932060000001,-22.818931999999965
-44.08932060000001,-22.818931999999965,-44.03932060000001,-22.768931999999964
-44.08932060000001,-22.768931999999964,-44.03932060000001,-22.718931999999963
-44.08932060000001,-22.718931999999963,-44.03932060000001,-22.668931999999963
-44.08932060000001,-22.668931999999963,-44.03932060000001,-22.618931999999962
-44.08932060000001,-22.618931999999962,-44.03932060000001,-22.56893199999996
-44.08932060000001,-22.56893199999996,-44.03932060000001,-22.51893199999996
-44.08932060000001,-22.51893199999996,-44.03932060000001,-22.46893199999996
-44.08932060000001,-22.46893199999996,-44.03932060000001,-22.41893199999996
-44.08932060000001,-22.41893199999996,-44.03932060000001,-22.36893199999996
-44.08932060000001,-22.36893199999996,-44.03932060000001,-22.318931999999958
-44.08932060000001,-22.318931999999958,-44.03932060000001,-22.268931999999957
-44.08932060000001,-22.268931999999957,-44.03932060000001,-22.218931999999956
-44.08932060000001,-22.218931999999956,-44.03932060000001,-22.168931999999955
-44.08932060000001,-22.168931999999955,-44.03932060000001,-22.118931999999955
-44.03932060000001,-23.11893199999997,-43.98932060000001,-23.06893199999997
-44.03932060000001,-23.06893199999997,-43.98932060000001,-23.018931999999968
-44.03932060000001,-23.018931999999968,-43.98932060000001,-22.968931999999967
-44.03932060000001,-22.968931999999967,-43.98932060000001,-22.918931999999966
-44.03932060000001,-22.918931999999966,-43.98932060000001,-22.868931999999965
-44.03932060000001,-22.868931999999965,-43.98932060000001,-22.818931999999965
-44.03932060000001,-22.818931999999965,-43.98932060000001,-22.768931999999964
-44.03932060000001,-22.768931999999964,-43.98932060000001,-22.718931999999963
-44.03932060000001,-22.718931999999963,-43.98932060000001,-22.668931999999963
